date,ruonia
07.06.2017,9.14
06.06.2017,9.61
05.06.2017,9.45
02.06.2017,9.2
01.06.2017,9.19
31.05.2017,9.15
30.05.2017,9.18
29.05.2017,9.27
26.05.2017,9.07
25.05.2017,9.12
24.05.2017,8.85
23.05.2017,8.99
22.05.2017,8.93
19.05.2017,9.1
18.05.2017,9.08
17.05.2017,9.05
16.05.2017,8.86
15.05.2017,9
12.05.2017,8.99
11.05.2017,9.02
10.05.2017,9.27
05.05.2017,9.42
04.05.2017,9.52
03.05.2017,9.4
02.05.2017,9.11
28.04.2017,9.71
27.04.2017,9.59
26.04.2017,9.61
25.04.2017,9.77
24.04.2017,9.52
21.04.2017,9.55
20.04.2017,9.61
19.04.2017,9.58
18.04.2017,9.57
17.04.2017,9.61
14.04.2017,9.62
13.04.2017,9.54
12.04.2017,9.57
11.04.2017,9.23
10.04.2017,9.38
07.04.2017,9.3
06.04.2017,9.29
05.04.2017,9.35
04.04.2017,9.71
03.04.2017,9.88
31.03.2017,9.82
30.03.2017,10.03
29.03.2017,10
28.03.2017,9.8
27.03.2017,9.77
24.03.2017,9.74
23.03.2017,9.98
22.03.2017,9.95
21.03.2017,10
20.03.2017,10.02
17.03.2017,9.94
16.03.2017,9.94
15.03.2017,10.02
14.03.2017,10.02
13.03.2017,9.91
10.03.2017,9.92
09.03.2017,9.94
07.03.2017,9.53
06.03.2017,9.68
03.03.2017,9.74
02.03.2017,9.85
01.03.2017,9.99
28.02.2017,10
27.02.2017,10.15
22.02.2017,10.08
21.02.2017,10.17
20.02.2017,10.15
17.02.2017,10.32
16.02.2017,10.39
15.02.2017,10.45
14.02.2017,10.18
13.02.2017,10.21
10.02.2017,10.3
09.02.2017,10.25
08.02.2017,10.24
07.02.2017,9.9
06.02.2017,9.77
03.02.2017,9.96
02.02.2017,10.13
01.02.2017,10.24
31.01.2017,10.24
30.01.2017,10.27
27.01.2017,10.33
26.01.2017,10.38
25.01.2017,10.23
24.01.2017,9.82
23.01.2017,9.82
20.01.2017,10.1
19.01.2017,10.19
18.01.2017,10.26
17.01.2017,10.21
16.01.2017,10.22
13.01.2017,10.06
