<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VTBR,D,20160823,000000,0.0668000,0.0675600,0.0666000,0.0674900,6651960000
VTBR,D,20160824,000000,0.0673000,0.0673800,0.0666500,0.0672000,3914890000
VTBR,D,20160825,000000,0.0672000,0.0676000,0.0667500,0.0675000,6049270000
VTBR,D,20160826,000000,0.0672800,0.0675900,0.0666300,0.0671000,10482380000
VTBR,D,20160829,000000,0.0668100,0.0673800,0.0666700,0.0673800,4791640000
VTBR,D,20160830,000000,0.0674000,0.0683700,0.0670700,0.0682000,14662820000
VTBR,D,20160831,000000,0.0681000,0.0686900,0.0680000,0.0684900,12686480000
VTBR,D,20160901,000000,0.0683000,0.0704500,0.0681200,0.0702000,16995350000
VTBR,D,20160902,000000,0.0704000,0.0741900,0.0701400,0.0737500,60578440000
VTBR,D,20160905,000000,0.0740000,0.0748700,0.0727500,0.0739000,21249310000
VTBR,D,20160906,000000,0.0741000,0.0743800,0.0729200,0.0742500,18535710000
VTBR,D,20160907,000000,0.0745300,0.0757900,0.0742600,0.0754500,23153340000
VTBR,D,20160908,000000,0.0757100,0.0767700,0.0752300,0.0763800,15937420000
VTBR,D,20160909,000000,0.0758300,0.0767500,0.0748000,0.0767500,20187670000
VTBR,D,20160912,000000,0.0760600,0.0767900,0.0742900,0.0750000,27608540000
VTBR,D,20160913,000000,0.0750500,0.0755900,0.0745000,0.0745500,11595180000
VTBR,D,20160914,000000,0.0745400,0.0748000,0.0741100,0.0745000,12231260000
VTBR,D,20160915,000000,0.0743000,0.0747000,0.0700100,0.0746000,13255270000
VTBR,D,20160916,000000,0.0746900,0.0756000,0.0745000,0.0750000,16979100000
VTBR,D,20160919,000000,0.0751000,0.0754600,0.0744000,0.0745000,8560060000
VTBR,D,20160920,000000,0.0741600,0.0745000,0.0729000,0.0745000,11555640000
VTBR,D,20160921,000000,0.0747700,0.0750300,0.0741800,0.0747100,8374450000
VTBR,D,20160922,000000,0.0750700,0.0758500,0.0743200,0.0758500,10959390000
VTBR,D,20160923,000000,0.0755200,0.0758500,0.0751200,0.0752900,8479840000
VTBR,D,20160926,000000,0.0750000,0.0753000,0.0742500,0.0748000,11543560000
VTBR,D,20160927,000000,0.0750600,0.0751400,0.0730000,0.0730000,12871920000
VTBR,D,20160928,000000,0.0730000,0.0734500,0.0725500,0.0727200,8583010000
VTBR,D,20160929,000000,0.0734000,0.0738800,0.0732900,0.0733000,7071650000
VTBR,D,20160930,000000,0.0728800,0.0732300,0.0714000,0.0721000,13618250000
VTBR,D,20161003,000000,0.0720800,0.0721400,0.0708000,0.0718300,8734890000
VTBR,D,20161004,000000,0.0718000,0.0719900,0.0714500,0.0714500,4233290000
VTBR,D,20161005,000000,0.0714200,0.0714700,0.0700000,0.0701000,9378100000
VTBR,D,20161006,000000,0.0700000,0.0704300,0.0698000,0.0701500,4219150000
VTBR,D,20161007,000000,0.0701900,0.0710000,0.0695900,0.0701800,7181030000
VTBR,D,20161010,000000,0.0702200,0.0707900,0.0690800,0.0707600,15868760000
VTBR,D,20161011,000000,0.0706500,0.0709300,0.0695500,0.0702000,11451070000
VTBR,D,20161012,000000,0.0701000,0.0705800,0.0687500,0.0691000,9572160000
VTBR,D,20161013,000000,0.0688400,0.0691600,0.0679600,0.0686900,7792300000
VTBR,D,20161014,000000,0.0685600,0.0686000,0.0675500,0.0678000,5722490000
VTBR,D,20161017,000000,0.0679300,0.0681800,0.0674000,0.0675600,6520520000
VTBR,D,20161018,000000,0.0677900,0.0683100,0.0676500,0.0680500,4650350000
VTBR,D,20161019,000000,0.0681200,0.0689100,0.0679300,0.0687000,4783320000
VTBR,D,20161020,000000,0.0688000,0.0688900,0.0671500,0.0671500,9959290000
VTBR,D,20161021,000000,0.0672000,0.0676400,0.0668300,0.0675300,3753280000
VTBR,D,20161024,000000,0.0675800,0.0688700,0.0675800,0.0687900,7371340000
VTBR,D,20161025,000000,0.0688800,0.0699500,0.0679200,0.0692500,11804860000
VTBR,D,20161026,000000,0.0691400,0.0698700,0.0685100,0.0691500,7536310000
VTBR,D,20161027,000000,0.0692400,0.0694900,0.0680100,0.0680100,6397090000
VTBR,D,20161028,000000,0.0681000,0.0686500,0.0677500,0.0682200,5825080000
VTBR,D,20161031,000000,0.0681800,0.0682300,0.0676500,0.0677500,6554970000
VTBR,D,20161101,000000,0.0680600,0.0690700,0.0680000,0.0687700,6092640000
VTBR,D,20161102,000000,0.0683100,0.0686600,0.0675000,0.0675000,5536440000
VTBR,D,20161103,000000,0.0676000,0.0678500,0.0671500,0.0675400,5068540000
VTBR,D,20161107,000000,0.0677800,0.0683900,0.0675300,0.0675300,6612200000
