<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.IMOEX,D,20160523,000000,1889.1100000,1889.1100000,1861.6400000,1868.4300000,0
RI.IMOEX,D,20160524,000000,1868.7000000,1887.4800000,1868.7000000,1884.1200000,0
RI.IMOEX,D,20160525,000000,1889.4200000,1910.7000000,1889.4200000,1898.7500000,0
RI.IMOEX,D,20160526,000000,1905.8100000,1931.7800000,1895.6300000,1914.3100000,0
RI.IMOEX,D,20160527,000000,1913.1800000,1930.8000000,1910.1100000,1927.5800000,0
RI.IMOEX,D,20160530,000000,1931.0700000,1938.1400000,1918.7600000,1935.5400000,0
RI.IMOEX,D,20160531,000000,1937.1300000,1939.8400000,1899.0100000,1899.0100000,0
RI.IMOEX,D,20160601,000000,1899.1400000,1906.8600000,1888.8800000,1893.1800000,0
RI.IMOEX,D,20160602,000000,1895.2700000,1898.9000000,1876.5800000,1890.7800000,0
RI.IMOEX,D,20160603,000000,1896.9500000,1913.7400000,1877.8900000,1886.8400000,0
RI.IMOEX,D,20160606,000000,1893.0500000,1920.9100000,1893.0500000,1915.5400000,0
RI.IMOEX,D,20160607,000000,1917.9600000,1954.4900000,1914.5600000,1951.2600000,0
RI.IMOEX,D,20160608,000000,1953.7500000,1960.7500000,1937.6200000,1951.5500000,0
RI.IMOEX,D,20160609,000000,1952.4200000,1952.4200000,1927.7200000,1934.9200000,29665492694
RI.IMOEX,D,20160610,000000,1928.4800000,1930.2600000,1903.6100000,1903.6100000,28777726521
RI.IMOEX,D,20160614,000000,1901.2000000,1903.5400000,1875.2700000,1885.9200000,40744702428
RI.IMOEX,D,20160615,000000,1882.2600000,1898.3100000,1880.5500000,1889.7500000,37845672069
RI.IMOEX,D,20160616,000000,1883.6200000,1883.8600000,1853.3600000,1869.7800000,32471422864
RI.IMOEX,D,20160617,000000,1879.8100000,1896.2800000,1871.8800000,1877.0700000,35298457106
RI.IMOEX,D,20160620,000000,1894.0300000,1906.4600000,1892.7300000,1902.7000000,23905965961
RI.IMOEX,D,20160621,000000,1900.1400000,1910.2500000,1884.6400000,1904.0200000,25623356487
RI.IMOEX,D,20160622,000000,1910.8600000,1912.7500000,1892.1600000,1896.7000000,21610632336
RI.IMOEX,D,20160623,000000,1892.0000000,1919.2700000,1883.1800000,1919.2700000,25896840624
RI.IMOEX,D,20160624,000000,1860.6800000,1884.9400000,1846.9100000,1884.4100000,42616365043
RI.IMOEX,D,20160627,000000,1882.8200000,1887.7500000,1841.7300000,1841.7300000,35117877018
RI.IMOEX,D,20160628,000000,1853.0000000,1863.5300000,1844.8000000,1857.2300000,29870702867
RI.IMOEX,D,20160629,000000,1864.3100000,1888.1500000,1862.4500000,1888.1500000,25498709169
RI.IMOEX,D,20160630,000000,1886.3300000,1897.3600000,1879.3300000,1891.0900000,28888012084
RI.IMOEX,D,20160701,000000,1887.0700000,1900.4100000,1880.6300000,1896.6200000,19669174916
RI.IMOEX,D,20160704,000000,1902.6700000,1913.4800000,1896.4000000,1907.4800000,19533656505
RI.IMOEX,D,20160705,000000,1903.0100000,1904.0600000,1887.0500000,1895.6400000,21567078577
RI.IMOEX,D,20160706,000000,1891.9900000,1896.7100000,1871.4700000,1879.4200000,26739811593
RI.IMOEX,D,20160707,000000,1886.1100000,1901.5700000,1878.4700000,1882.4100000,31628682372
RI.IMOEX,D,20160708,000000,1872.7400000,1896.8200000,1860.5500000,1894.3500000,35441247831
RI.IMOEX,D,20160711,000000,1891.9300000,1914.3100000,1887.1000000,1913.1200000,28424172954
RI.IMOEX,D,20160712,000000,1913.0400000,1942.6900000,1911.9100000,1938.3600000,33035090032
RI.IMOEX,D,20160713,000000,1935.2800000,1945.7600000,1928.5000000,1935.8800000,38363975761
RI.IMOEX,D,20160714,000000,1938.0100000,1944.8500000,1921.7500000,1942.4600000,33861336650
RI.IMOEX,D,20160715,000000,1931.1300000,1943.6300000,1928.5700000,1940.8500000,36466881812
RI.IMOEX,D,20160718,000000,1937.1700000,1948.5400000,1920.1800000,1936.0700000,30425666764
RI.IMOEX,D,20160719,000000,1918.6400000,1929.1100000,1903.1000000,1915.8900000,32775563013
RI.IMOEX,D,20160720,000000,1914.0100000,1921.2300000,1896.0000000,1915.0900000,27902451635
RI.IMOEX,D,20160721,000000,1921.4100000,1930.7900000,1911.8700000,1927.7000000,20274446289
RI.IMOEX,D,20160722,000000,1924.7900000,1933.7600000,1922.8500000,1926.9000000,17663520714
RI.IMOEX,D,20160725,000000,1933.8100000,1942.9800000,1922.2200000,1931.7800000,27254066779
RI.IMOEX,D,20160726,000000,1932.8400000,1940.2600000,1917.9600000,1938.5200000,30456088568
