<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20160705,000000,133.9000000,133.9000000,131.7300000,131.8500000,44204110
SBER,D,20160706,000000,131.5100000,132.0400000,127.8500000,129.3600000,70388370
SBER,D,20160707,000000,130.5000000,133.5000000,130.0200000,131.8000000,77389640
SBER,D,20160708,000000,130.6300000,134.4900000,130.3500000,134.4100000,75673040
SBER,D,20160711,000000,134.8000000,137.7700000,134.5200000,137.2000000,69766630
SBER,D,20160712,000000,137.5500000,140.4700000,136.9000000,140.4000000,63663050
SBER,D,20160713,000000,140.2900000,141.3500000,137.8800000,139.4000000,85646210
SBER,D,20160714,000000,140.0100000,140.6500000,137.5700000,140.0000000,61259330
SBER,D,20160715,000000,139.3800000,139.7400000,137.2500000,138.1200000,53525020
SBER,D,20160718,000000,138.3800000,139.9300000,137.9000000,139.9300000,46916320
SBER,D,20160719,000000,139.7500000,141.1000000,138.4200000,139.4700000,53210010
SBER,D,20160720,000000,139.5500000,140.0000000,137.4100000,138.5700000,63427030
SBER,D,20160721,000000,139.3400000,139.8500000,137.8000000,138.5000000,32366650
SBER,D,20160722,000000,137.8600000,138.8700000,137.5700000,137.8000000,33593300
SBER,D,20160725,000000,138.2500000,138.6600000,135.5000000,136.0000000,47079530
SBER,D,20160726,000000,136.2000000,136.7000000,133.3300000,135.7500000,65090650
SBER,D,20160727,000000,136.1000000,137.6000000,135.2000000,136.9000000,62432830
SBER,D,20160728,000000,137.0500000,137.3400000,134.8200000,136.8500000,56309740
SBER,D,20160729,000000,136.6000000,139.8100000,135.9300000,139.1500000,59148860
SBER,D,20160801,000000,140.0000000,141.2100000,137.5900000,138.5200000,47097920
SBER,D,20160802,000000,138.4500000,138.6000000,135.0000000,135.0600000,57219190
SBER,D,20160803,000000,134.7300000,136.2000000,134.2700000,135.7300000,46770910
SBER,D,20160804,000000,136.4700000,137.6000000,136.0200000,137.1400000,41545410
SBER,D,20160805,000000,137.4900000,138.8900000,137.3100000,138.6900000,44468520
SBER,D,20160808,000000,139.0200000,140.1000000,138.0000000,139.4500000,43494750
SBER,D,20160809,000000,139.2000000,140.2500000,137.8500000,139.2000000,52285030
SBER,D,20160810,000000,139.2000000,139.8000000,138.1400000,138.3000000,36143560
SBER,D,20160811,000000,138.1600000,139.7400000,137.6800000,139.7000000,38330410
SBER,D,20160812,000000,140.2000000,141.3900000,139.1000000,139.4500000,44335520
SBER,D,20160815,000000,140.2500000,140.4900000,138.8600000,139.5000000,40173330
SBER,D,20160816,000000,139.5100000,141.0800000,138.0300000,138.1000000,64904690
SBER,D,20160817,000000,138.2100000,138.8000000,137.1700000,138.4400000,42730300
SBER,D,20160818,000000,138.7200000,140.1400000,136.2000000,137.0000000,62012990
SBER,D,20160819,000000,137.7000000,137.7000000,135.5200000,135.8000000,42530000
SBER,D,20160822,000000,135.2000000,137.4700000,134.6000000,137.3700000,47485130
SBER,D,20160823,000000,136.9500000,140.4800000,136.9000000,140.3500000,59116300
SBER,D,20160824,000000,139.7000000,140.5000000,138.5200000,139.5000000,46251770
SBER,D,20160825,000000,139.9900000,142.9000000,139.6700000,142.8400000,75944360
SBER,D,20160826,000000,143.2400000,145.6000000,143.2000000,145.2500000,75015960
SBER,D,20160829,000000,144.4500000,144.4700000,142.5100000,143.5500000,45614050
SBER,D,20160830,000000,143.5800000,145.3000000,143.1800000,143.1800000,50443440
SBER,D,20160831,000000,143.1800000,144.0500000,142.5500000,143.5000000,45294720
SBER,D,20160901,000000,143.8800000,144.7800000,143.6000000,144.2500000,41937950
SBER,D,20160902,000000,144.4500000,147.0900000,143.8200000,146.8800000,53772780
SBER,D,20160905,000000,147.5100000,149.6000000,147.0900000,149.5000000,59545820
SBER,D,20160906,000000,149.7100000,150.8100000,149.0600000,150.6400000,60147990
SBER,D,20160907,000000,150.9500000,155.0300000,150.9200000,154.3300000,95289530
SBER,D,20160908,000000,155.2500000,156.2500000,152.6700000,153.4500000,64537130
SBER,D,20160909,000000,152.8000000,152.8400000,151.2200000,151.6000000,33736960
SBER,D,20160912,000000,149.7300000,151.6900000,148.6500000,151.4300000,55871980
SBER,D,20160913,000000,151.5000000,152.1000000,149.2500000,149.8000000,36148670
SBER,D,20160914,000000,149.9000000,151.5500000,149.3500000,150.8600000,38688330
SBER,D,20160915,000000,150.5400000,150.7800000,148.0600000,149.1400000,45107520
SBER,D,20160916,000000,149.3100000,149.6800000,147.0000000,147.0000000,49910660
SBER,D,20160919,000000,148.7900000,149.9100000,148.0700000,148.6600000,38924550
SBER,D,20160920,000000,148.1200000,149.4000000,147.0400000,149.3000000,35149660
SBER,D,20160921,000000,149.8500000,151.5400000,149.7200000,150.6700000,43697250
SBER,D,20160922,000000,152.5100000,154.5000000,151.6200000,154.1800000,66092620
SBER,D,20160923,000000,153.7600000,153.7600000,150.1300000,151.5000000,51176510
SBER,D,20160926,000000,149.9000000,152.4500000,148.7000000,149.1000000,51986750
SBER,D,20160927,000000,149.5900000,149.6900000,147.2800000,147.5300000,40348840
SBER,D,20160928,000000,148.1200000,149.3400000,146.7100000,147.1800000,40230280
SBER,D,20160929,000000,150.2000000,150.8800000,148.0500000,148.4700000,56297300
SBER,D,20160930,000000,146.9900000,147.0000000,144.6000000,145.3400000,57798440
SBER,D,20161003,000000,146.0000000,148.8700000,145.7500000,148.8700000,47941420
SBER,D,20161004,000000,148.9300000,149.1200000,146.2100000,148.1000000,46459310
SBER,D,20161005,000000,148.1400000,148.4000000,146.3000000,147.9500000,37966310
SBER,D,20161006,000000,148.0400000,149.6900000,147.5500000,148.9000000,32699850
SBER,D,20161007,000000,149.5800000,150.5000000,147.8900000,148.7400000,49388830
SBER,D,20161010,000000,149.3000000,151.3000000,148.3600000,151.2700000,37482300
SBER,D,20161011,000000,150.9000000,152.4400000,150.5100000,151.3000000,46376980
SBER,D,20161012,000000,151.2000000,151.5900000,148.8100000,149.2000000,35317240
SBER,D,20161013,000000,148.6400000,148.6500000,145.7600000,146.0900000,52801720
SBER,D,20161014,000000,146.6500000,147.9600000,146.1600000,146.7300000,37099700
SBER,D,20161017,000000,146.5200000,147.1300000,145.5400000,146.4600000,42562890
SBER,D,20161018,000000,147.4700000,148.4400000,147.0200000,147.7400000,32892040
SBER,D,20161019,000000,148.3900000,149.2000000,148.0700000,148.6000000,31814210
SBER,D,20161020,000000,148.8300000,149.0000000,147.2900000,148.2600000,34157360
SBER,D,20161021,000000,148.0300000,148.8400000,147.4800000,148.4200000,23313770
SBER,D,20161024,000000,149.2300000,150.4500000,148.9400000,149.1500000,37410050
SBER,D,20161025,000000,149.7400000,152.2300000,149.2200000,151.5700000,36118270
SBER,D,20161026,000000,151.2100000,151.7000000,149.7500000,150.6700000,35924950
SBER,D,20161027,000000,150.6000000,151.6200000,149.3000000,149.3000000,28729750
SBER,D,20161028,000000,149.3300000,150.0800000,148.3200000,149.2000000,22403660
SBER,D,20161031,000000,148.9400000,148.9400000,147.4000000,147.4000000,27671510
SBER,D,20161101,000000,147.9000000,148.9800000,145.7100000,145.8500000,44141040
SBER,D,20161102,000000,144.6600000,145.6400000,142.3000000,142.3600000,60095570
SBER,D,20161103,000000,142.7900000,143.6600000,141.6000000,142.7500000,40279790
SBER,D,20161107,000000,143.6200000,144.8800000,142.5500000,143.4000000,32393320
SBER,D,20161108,000000,144.2400000,146.3300000,143.6800000,146.1100000,37336380
SBER,D,20161109,000000,143.0100000,151.3500000,142.5000000,151.0400000,102095030
SBER,D,20161110,000000,151.8900000,155.5700000,151.8400000,153.3600000,100318590
SBER,D,20161111,000000,152.9900000,153.6800000,151.4400000,151.5100000,69438610
SBER,D,20161114,000000,152.4800000,152.8500000,149.1700000,150.4000000,47632130
SBER,D,20161115,000000,151.0000000,152.3700000,148.7500000,149.8500000,50365840
SBER,D,20161116,000000,150.9200000,151.8800000,149.1800000,149.9400000,35559810
SBER,D,20161117,000000,149.9300000,150.9500000,148.9500000,149.7500000,37666370
SBER,D,20161118,000000,149.9900000,150.8400000,149.6400000,150.0500000,27249640
SBER,D,20161121,000000,150.9300000,153.2500000,150.9000000,153.0000000,39942520
SBER,D,20161122,000000,153.8000000,155.6800000,153.6400000,155.0000000,68518420
SBER,D,20161123,000000,155.4300000,155.4400000,154.5500000,155.2300000,36326550
SBER,D,20161124,000000,155.3800000,161.2000000,155.3000000,161.1500000,68780590
SBER,D,20161125,000000,161.0000000,163.4200000,158.9400000,160.3600000,69110630
SBER,D,20161128,000000,160.1000000,161.1200000,158.4300000,159.4000000,33471380
SBER,D,20161129,000000,158.9100000,160.7000000,157.6000000,158.0700000,49329590
SBER,D,20161130,000000,158.3100000,160.1300000,157.7100000,158.7000000,62375230
SBER,D,20161201,000000,159.8000000,160.0000000,157.7500000,158.7000000,44208780
SBER,D,20161202,000000,158.4100000,159.9400000,157.1000000,159.4000000,52745320
SBER,D,20161205,000000,158.7600000,163.2300000,158.4300000,162.0200000,56571820
SBER,D,20161206,000000,161.9800000,162.9400000,159.3500000,159.3500000,47131720
SBER,D,20161207,000000,159.8000000,161.0000000,158.5800000,159.9500000,46885010
SBER,D,20161208,000000,160.7000000,168.9800000,160.6700000,168.9800000,98124080
SBER,D,20161209,000000,169.6700000,170.8700000,167.6000000,169.6600000,74379560
SBER,D,20161212,000000,172.0000000,178.9300000,171.3500000,175.4000000,114230960
SBER,D,20161213,000000,175.0000000,177.4800000,172.0600000,176.9000000,64532700
SBER,D,20161214,000000,177.0000000,177.8700000,172.3700000,173.7000000,53770010
SBER,D,20161215,000000,171.5000000,175.3900000,171.3500000,174.9200000,74954190
SBER,D,20161216,000000,175.6400000,177.0400000,173.5000000,173.9000000,50022910
SBER,D,20161219,000000,174.7500000,175.5500000,173.2000000,174.3000000,34104700
SBER,D,20161220,000000,174.0800000,176.8600000,173.0300000,175.9000000,31465650
SBER,D,20161221,000000,176.5700000,185.3400000,174.6500000,174.7100000,92632940
SBER,D,20161222,000000,174.4400000,175.3500000,170.0000000,170.0000000,66965850
SBER,D,20161223,000000,169.7800000,171.7600000,168.5500000,171.1500000,37329090
SBER,D,20161226,000000,171.2100000,173.2000000,171.1500000,171.9700000,21197560
SBER,D,20161227,000000,172.0000000,172.7000000,170.5000000,172.2700000,19772190
SBER,D,20161228,000000,172.9900000,173.6300000,170.1000000,170.1000000,36973350
SBER,D,20161229,000000,170.0500000,172.2200000,167.5500000,171.3000000,49574970
SBER,D,20161230,000000,171.6100000,173.2500000,170.5600000,173.2500000,35419390
SBER,D,20170103,000000,173.4100000,181.6800000,173.0000000,180.1200000,53842180
SBER,D,20170104,000000,178.9100000,179.4100000,174.2300000,175.9500000,41327620
SBER,D,20170105,000000,176.3200000,177.2800000,171.5400000,171.9000000,35076900
SBER,D,20170106,000000,172.4100000,173.7500000,169.5000000,170.6900000,35395940
SBER,D,20170109,000000,171.3700000,172.3900000,168.0500000,168.3500000,35166440
SBER,D,20170110,000000,168.3700000,172.3000000,167.5400000,171.6000000,58834680
SBER,D,20170111,000000,171.5000000,173.0500000,168.5400000,169.0500000,52736220
SBER,D,20170112,000000,170.0000000,170.6500000,168.0200000,168.2700000,49804960
SBER,D,20170113,000000,168.8000000,172.3900000,163.8800000,164.9000000,85940780
SBER,D,20170116,000000,165.2100000,166.8000000,164.0600000,164.6600000,37557260
SBER,D,20170117,000000,164.7100000,166.4700000,163.3400000,165.9800000,45959420
SBER,D,20170118,000000,165.8100000,167.8000000,164.3100000,165.2400000,42378670
SBER,D,20170119,000000,165.5000000,166.9900000,164.6900000,166.3000000,38472590
SBER,D,20170120,000000,166.5000000,168.1900000,165.4200000,167.4900000,32568940
SBER,D,20170123,000000,167.3100000,167.3100000,164.5300000,166.7500000,36434510
SBER,D,20170124,000000,167.3800000,170.7000000,167.2400000,170.2500000,45367280
SBER,D,20170125,000000,170.3600000,171.3000000,169.5000000,170.2600000,42503590
SBER,D,20170126,000000,170.8200000,174.3900000,169.0600000,173.7900000,56036230
SBER,D,20170127,000000,173.8100000,178.9200000,173.0000000,178.9200000,71099490
SBER,D,20170130,000000,177.5000000,178.0000000,174.2400000,174.6000000,45749280
SBER,D,20170131,000000,174.3700000,175.2700000,172.0700000,172.2000000,46470590
SBER,D,20170201,000000,172.5100000,174.2700000,171.7500000,173.9000000,42193480
SBER,D,20170202,000000,173.9000000,174.6900000,171.9500000,172.8300000,31041850
SBER,D,20170203,000000,173.0700000,174.1900000,172.2700000,173.8000000,34713800
SBER,D,20170206,000000,174.3000000,174.9800000,172.2200000,172.8700000,33872650
SBER,D,20170207,000000,173.0000000,174.1800000,171.5100000,173.4700000,33473120
SBER,D,20170208,000000,173.1500000,173.1500000,170.7700000,171.2000000,33273330
SBER,D,20170209,000000,171.9400000,172.6700000,167.8400000,168.8000000,48715170
SBER,D,20170210,000000,169.0700000,170.4500000,165.4000000,165.5000000,59285630
SBER,D,20170213,000000,166.0600000,167.0500000,163.5000000,164.7000000,52988560
