<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBUSD,D,20171208,000000,0.0168520,0.0168840,0.0167840,0.0168680,304
RUBUSD,D,20171209,000000,0.0168620,0.0168710,0.0168570,0.0168670,26
RUBUSD,D,20171210,000000,0.0168670,0.0168670,0.0168670,0.0168670,6
RUBUSD,D,20171211,000000,0.0168610,0.0169550,0.0168070,0.0169050,298
RUBUSD,D,20171212,000000,0.0169100,0.0169610,0.0168090,0.0168300,305
RUBUSD,D,20171213,000000,0.0168350,0.0170200,0.0168150,0.0170130,311
RUBUSD,D,20171214,000000,0.0170120,0.0170570,0.0169240,0.0169630,318
RUBUSD,D,20171215,000000,0.0169370,0.0169750,0.0169010,0.0169530,309
RUBUSD,D,20171216,000000,0.0169440,0.0169500,0.0169380,0.0169380,24
RUBUSD,D,20171217,000000,0.0169380,0.0169380,0.0169380,0.0169380,5
RUBUSD,D,20171218,000000,0.0169380,0.0170220,0.0169360,0.0169930,284
RUBUSD,D,20171219,000000,0.0169920,0.0170290,0.0169440,0.0169650,293
RUBUSD,D,20171220,000000,0.0169650,0.0170140,0.0169540,0.0169860,303
RUBUSD,D,20171221,000000,0.0169860,0.0170630,0.0169670,0.0170610,304
RUBUSD,D,20171222,000000,0.0170570,0.0171210,0.0170120,0.0170970,306
RUBUSD,D,20171223,000000,0.0170910,0.0171270,0.0170840,0.0170910,23
RUBUSD,D,20171224,000000,0.0171050,0.0171050,0.0171050,0.0171050,6
RUBUSD,D,20171225,000000,0.0170960,0.0172470,0.0170730,0.0171930,210
RUBUSD,D,20171226,000000,0.0171990,0.0173030,0.0171060,0.0172990,294
RUBUSD,D,20171227,000000,0.0173040,0.0173720,0.0172180,0.0172790,309
RUBUSD,D,20171228,000000,0.0172320,0.0173630,0.0172320,0.0173490,309
RUBUSD,D,20171229,000000,0.0173490,0.0173500,0.0172230,0.0173040,303
RUBUSD,D,20171230,000000,0.0172620,0.0172890,0.0172510,0.0172860,32
RUBUSD,D,20171231,000000,0.0172860,0.0172860,0.0172860,0.0172860,6
RUBUSD,D,20180101,000000,0.0172860,0.0172920,0.0171980,0.0172860,177
RUBUSD,D,20180102,000000,0.0172040,0.0174260,0.0172010,0.0173660,258
RUBUSD,D,20180103,000000,0.0173600,0.0174520,0.0173100,0.0174270,293
RUBUSD,D,20180104,000000,0.0174220,0.0175560,0.0174080,0.0175140,266
RUBUSD,D,20180105,000000,0.0175070,0.0175170,0.0174580,0.0175100,264
RUBUSD,D,20180106,000000,0.0175090,0.0175160,0.0174970,0.0175060,18
RUBUSD,D,20180107,000000,0.0175030,0.0175060,0.0175030,0.0175060,12
RUBUSD,D,20180108,000000,0.0175060,0.0175380,0.0174420,0.0174560,274
RUBUSD,D,20180109,000000,0.0174570,0.0175430,0.0174360,0.0174910,246
RUBUSD,D,20180110,000000,0.0175030,0.0175610,0.0174590,0.0174840,292
RUBUSD,D,20180111,000000,0.0174910,0.0176700,0.0174670,0.0176660,294
RUBUSD,D,20180112,000000,0.0176640,0.0176720,0.0175780,0.0175990,294
RUBUSD,D,20180113,000000,0.0175990,0.0176160,0.0175860,0.0175990,29
RUBUSD,D,20180114,000000,0.0176270,0.0176270,0.0176270,0.0176270,6
RUBUSD,D,20180115,000000,0.0175990,0.0177100,0.0175810,0.0176850,292
