<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20161116,000000,147.0300000,148.8000000,145.1400000,145.5000000,40872880
GAZP,D,20161117,000000,145.8200000,147.7800000,145.3200000,147.7000000,28322110
GAZP,D,20161118,000000,147.5100000,148.2900000,146.7400000,146.9600000,14636600
GAZP,D,20161121,000000,147.6000000,149.8500000,147.6000000,149.6000000,26156510
GAZP,D,20161122,000000,150.2100000,150.8300000,149.0600000,150.0000000,26476350
GAZP,D,20161123,000000,150.2400000,150.3800000,148.5600000,149.4900000,19319250
GAZP,D,20161124,000000,149.5300000,152.2500000,149.3500000,151.1100000,26207750
GAZP,D,20161125,000000,150.9400000,151.6000000,149.5000000,151.3100000,17894050
GAZP,D,20161128,000000,151.1400000,151.4800000,148.3900000,148.9400000,24390930
GAZP,D,20161129,000000,148.8400000,149.4900000,147.3400000,147.7500000,21135180
GAZP,D,20161130,000000,147.9900000,151.1200000,147.6000000,148.8000000,44322650
GAZP,D,20161201,000000,149.5900000,153.7000000,149.5500000,152.8100000,57446800
GAZP,D,20161202,000000,152.8000000,153.6400000,151.8000000,152.3500000,27070280
GAZP,D,20161205,000000,152.1800000,153.9900000,152.0900000,153.7800000,35063240
GAZP,D,20161206,000000,153.9200000,154.5500000,151.2700000,151.5000000,35477340
GAZP,D,20161207,000000,151.5600000,152.6100000,150.9200000,151.9500000,23401680
GAZP,D,20161208,000000,152.4800000,153.7000000,151.8900000,153.0500000,31360460
GAZP,D,20161209,000000,153.5000000,153.8300000,152.1800000,152.9900000,26721530
GAZP,D,20161212,000000,154.1800000,159.8200000,154.0300000,158.6300000,83754390
GAZP,D,20161213,000000,158.3500000,159.2000000,157.7200000,158.9500000,43170440
GAZP,D,20161214,000000,159.0100000,160.6200000,155.3000000,157.2000000,45516290
GAZP,D,20161215,000000,155.7700000,158.3000000,155.7700000,158.2500000,52342400
GAZP,D,20161216,000000,158.4800000,158.8800000,156.2000000,156.2000000,31667140
GAZP,D,20161219,000000,157.1400000,157.7500000,154.6000000,154.6000000,17549250
GAZP,D,20161220,000000,154.5500000,155.9500000,153.7600000,155.3000000,27856890
GAZP,D,20161221,000000,155.4300000,156.7300000,153.0100000,153.0600000,22587980
GAZP,D,20161222,000000,153.2100000,153.3400000,149.7200000,150.2700000,29725390
GAZP,D,20161223,000000,150.2800000,151.1900000,147.2200000,149.0500000,24962550
GAZP,D,20161226,000000,149.0000000,149.8600000,148.8000000,148.9500000,7009350
GAZP,D,20161227,000000,149.0500000,151.0300000,149.0500000,150.3800000,9642840
GAZP,D,20161228,000000,150.6000000,152.6000000,149.6000000,151.0000000,17016680
