<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBEUR,D,20160314,000000,0.0127770,0.0128790,0.0124320,0.0128140,281
RUBEUR,D,20160315,000000,0.0128230,0.0128430,0.0125670,0.0126440,286
RUBEUR,D,20160316,000000,0.0126500,0.0128410,0.0126170,0.0128410,284
RUBEUR,D,20160317,000000,0.0128510,0.0129560,0.0127350,0.0129040,291
RUBEUR,D,20160318,000000,0.0129060,0.0131090,0.0128710,0.0130500,288
RUBEUR,D,20160319,000000,0.0129470,0.0129560,0.0129210,0.0129210,9
RUBEUR,D,20160320,000000,0.0128790,0.0128970,0.0128790,0.0128890,35
RUBEUR,D,20160321,000000,0.0129290,0.0130970,0.0127660,0.0130060,288
RUBEUR,D,20160322,000000,0.0130060,0.0132210,0.0129690,0.0131960,292
RUBEUR,D,20160323,000000,0.0132000,0.0132000,0.0129650,0.0129740,291
RUBEUR,D,20160324,000000,0.0129590,0.0130430,0.0128200,0.0129830,294
RUBEUR,D,20160325,000000,0.0129300,0.0131440,0.0128730,0.0130200,293
RUBEUR,D,20160326,000000,0.0129780,0.0130210,0.0129780,0.0130210,7
RUBEUR,D,20160327,000000,0.0130740,0.0130740,0.0130720,0.0130720,6
RUBEUR,D,20160328,000000,0.0129980,0.0131790,0.0129460,0.0129790,278
RUBEUR,D,20160329,000000,0.0129400,0.0130020,0.0128580,0.0129160,286
RUBEUR,D,20160330,000000,0.0129100,0.0130700,0.0128570,0.0128620,288
RUBEUR,D,20160331,000000,0.0129870,0.0130960,0.0127380,0.0130870,291
RUBEUR,D,20160401,000000,0.0130660,0.0131200,0.0127880,0.0129160,294
RUBEUR,D,20160402,000000,0.0128750,0.0129900,0.0128750,0.0129880,8
RUBEUR,D,20160403,000000,0.0128710,0.0128760,0.0128700,0.0128760,6
RUBEUR,D,20160404,000000,0.0129670,0.0129800,0.0126810,0.0127390,271
RUBEUR,D,20160405,000000,0.0127510,0.0127660,0.0125780,0.0126710,294
