date,curs
21/04/2017,56.4165
22/04/2017,56.2307
25/04/2017,56.0794
26/04/2017,55.8453
27/04/2017,56.3131
28/04/2017,56.9707
29/04/2017,56.9838
03/05/2017,56.9518
04/05/2017,57.0927
05/05/2017,57.5714
06/05/2017,58.5382
11/05/2017,58.0824
12/05/2017,57.1161
13/05/2017,57.1640
16/05/2017,56.5258
17/05/2017,56.2603
18/05/2017,56.7383
19/05/2017,57.4683
20/05/2017,57.1602
23/05/2017,56.4988
24/05/2017,56.5552
25/05/2017,56.2743
26/05/2017,56.0701
27/05/2017,56.7560
30/05/2017,56.7106
31/05/2017,56.5168
01/06/2017,56.6876
02/06/2017,56.5373
03/06/2017,56.6876
06/06/2017,56.6152
07/06/2017,56.6747
08/06/2017,56.5878
09/06/2017,56.9857
10/06/2017,57.0020
14/06/2017,56.9096
15/06/2017,57.0303
16/06/2017,57.4437
17/06/2017,57.7408
20/06/2017,57.9585
21/06/2017,58.5786
22/06/2017,60.0000
23/06/2017,60.1482
24/06/2017,59.6564
27/06/2017,59.0014
28/06/2017,58.8843
29/06/2017,59.5415
30/06/2017,59.0855
01/07/2017,59.3862
04/07/2017,58.9695
05/07/2017,59.2295
06/07/2017,59.5787
07/07/2017,60.2426
08/07/2017,60.3792
11/07/2017,60.3014
12/07/2017,60.7397
13/07/2017,60.6227
14/07/2017,60.1836
15/07/2017,59.8806
18/07/2017,59.0657
19/07/2017,59.3705
20/07/2017,59.2418
21/07/2017,59.0823
22/07/2017,58.9325
25/07/2017,59.6572
26/07/2017,59.8185
27/07/2017,59.9102
28/07/2017,59.4102
29/07/2017,59.5436
01/08/2017,60.0633
02/08/2017,59.8454
03/08/2017,60.5819
04/08/2017,60.7503
05/08/2017,60.3281
08/08/2017,60.0605
09/08/2017,59.9886
10/08/2017,59.9611
11/08/2017,59.9298
12/08/2017,60.1873
15/08/2017,59.7990
16/08/2017,59.9266
17/08/2017,59.6521
18/08/2017,59.2490
19/08/2017,59.3612
22/08/2017,59.1409
23/08/2017,59.0396
24/08/2017,59.1312
25/08/2017,59.1397
26/08/2017,59.1476
29/08/2017,58.5469
30/08/2017,58.5320
31/08/2017,58.7306
01/09/2017,58.5454
02/09/2017,58.0557
05/09/2017,57.7817
06/09/2017,57.8503
07/09/2017,57.3387
08/09/2017,57.1411
09/09/2017,56.9966
12/09/2017,57.1694
13/09/2017,57.2656
14/09/2017,57.6679
15/09/2017,57.7706
16/09/2017,57.5336
19/09/2017,57.6242
20/09/2017,58.0993
21/09/2017,58.1290
22/09/2017,58.2242
23/09/2017,57.6527
26/09/2017,57.5660
27/09/2017,57.5186
28/09/2017,58.0102
29/09/2017,58.4255
30/09/2017,58.0169
03/10/2017,57.8134
04/10/2017,57.9375
05/10/2017,57.7832
06/10/2017,57.5811
07/10/2017,57.7612
10/10/2017,58.3151
11/10/2017,58.0713
12/10/2017,57.9210
13/10/2017,57.6869
14/10/2017,57.6196
17/10/2017,57.0861
18/10/2017,57.3392
19/10/2017,57.2721
20/10/2017,57.5706
21/10/2017,57.5118
24/10/2017,57.4706
25/10/2017,57.5852
